,ID,URL,Date,User,Tweet
901,901,https://twitter.com/aadyakhare_/status/1626001095041380354,2023-02-15 23:30:45+00:00,aadyakhare_,"@taylorswift13 did not write, direct and produce all her albums just so people can put her in a specific label which proves their point. 
(I am a gaylor though and believe in sapphism themes)
#TaylorSwift #Gaylor #kaylor 
#Midnights #evermore #folklore"
902,902,https://twitter.com/DejuanMpower/status/1625998041240203264,2023-02-15 23:18:37+00:00,DejuanMpower,@taylorswift13 egg prices are going down this is a fact
903,903,https://twitter.com/wincheswift/status/1625985247711203328,2023-02-15 22:27:47+00:00,wincheswift,@taylorswift13 @taylornation13 @UMG Y'ALL SEEING THIS SHIT???!!! https://t.co/844UoKEGUs
904,904,https://twitter.com/aaronjqpereira/status/1625981334240870402,2023-02-15 22:12:14+00:00,aaronjqpereira,@taylorswift13 @taylornation13 PLEASE restock the lover live from paris vinyls!!! i wasn’t able to snag one and so many resellers got one!! PLEASEEE
905,905,https://twitter.com/harryloutay/status/1625981159430553609,2023-02-15 22:11:32+00:00,harryloutay,@taylorswift13 explain https://t.co/I7x5vPnczp
906,906,https://twitter.com/taylorsperson/status/1625977103744204812,2023-02-15 21:55:25+00:00,taylorsperson,@taylorswift13 Baby? This is the wanna be stand in when things don’t go their way career wise. Assaults at any level within rejection go on when utilizing attempted ‘seduction’ THEN stage reverse attachments when failing when rejection remains as if any importance anyway… [1/2]
907,907,https://twitter.com/quietworld/status/1625972205635993613,2023-02-15 21:35:57+00:00,quietworld,@taylorswift13 when is the remainder of the Taylor eras tour going on sale? Are the remaining tickets ever going to be released? #TaylorSwiftErasTour
908,908,https://twitter.com/SoulisKris/status/1625963734828036096,2023-02-15 21:02:17+00:00,SoulisKris,@taylorswift13 Yes thank you love for giving me that serious clout. I got to literally do anything in the world now.. I'm on some superhero s***. And I probably haven't seen one of those movies
909,909,https://twitter.com/FEARLESS_ts89/status/1625963375296495616,2023-02-15 21:00:52+00:00,FEARLESS_ts89,@taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now.....
910,910,https://twitter.com/FEARLESS_ts89/status/1625963302688808961,2023-02-15 21:00:34+00:00,FEARLESS_ts89,"@taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now..
Please"
911,911,https://twitter.com/SoulisKris/status/1625962192741797888,2023-02-15 20:56:10+00:00,SoulisKris,@taylorswift13 Is there any instructions to this. I like peel through 10 onions. And got nowhere. Like I said I don't care I want you to know I don't know about everybody else. But you know it is what it is. I guess I'm in no hurry.
912,912,https://twitter.com/FEARLESS_ts89/status/1625961924931231744,2023-02-15 20:55:06+00:00,FEARLESS_ts89,@taylorswift13  I am serious Taylor come out here .... we're going to straighten this out once and for all right now
913,913,https://twitter.com/FEARLESS_ts89/status/1625961167930679296,2023-02-15 20:52:05+00:00,FEARLESS_ts89,"@taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now

Taylor???"
914,914,https://twitter.com/FEARLESS_ts89/status/1625960776178565124,2023-02-15 20:50:32+00:00,FEARLESS_ts89,@taylorswift13 @taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now
915,915,https://twitter.com/FEARLESS_ts89/status/1625959251565809665,2023-02-15 20:44:29+00:00,FEARLESS_ts89,@taylorswift13 @taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now
916,916,https://twitter.com/FEARLESS_ts89/status/1625959095168651264,2023-02-15 20:43:51+00:00,FEARLESS_ts89,@taylorswift13 @taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now
917,917,https://twitter.com/FEARLESS_ts89/status/1625959021709561856,2023-02-15 20:43:34+00:00,FEARLESS_ts89,@taylorswift13 @taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now
918,918,https://twitter.com/FEARLESS_ts89/status/1625958882752299029,2023-02-15 20:43:01+00:00,FEARLESS_ts89,@taylorswift13  can you come out here please.. we're going to straighten this out once and for all right now
919,919,https://twitter.com/TaiTel_/status/1625958145922138117,2023-02-15 20:40:05+00:00,TaiTel_,@taylorswift13 drop speak now (tv) please i want to listen to back to december without guilt 😭
920,920,https://twitter.com/ughpearl/status/1625956768198131730,2023-02-15 20:34:37+00:00,ughpearl,@taylorswift13 We need some dyke songs please
921,921,https://twitter.com/swiftiestyless/status/1625955346735894565,2023-02-15 20:28:58+00:00,swiftiestyless,"@taylorswift13 can I please have your old reputation tour costumes, we’re probably the same size minus my chest situation but I can make it work please this is dire"
922,922,https://twitter.com/Portillothedog/status/1625955137230409754,2023-02-15 20:28:08+00:00,Portillothedog,@taylorswift13 for Super Bowl 2024 Halftime Show……….Who Should Perform? – Billboard #Superbowl  https://t.co/wygQyBvk4s
923,923,https://twitter.com/LaPulp32/status/1625954251707977740,2023-02-15 20:24:37+00:00,LaPulp32,@taylorswift13 @UniversalMPeru @taylornation13 PLEASEEE 🥺🥺🥺🥺
924,924,https://twitter.com/TheRealShali7/status/1625946994429595671,2023-02-15 19:55:46+00:00,TheRealShali7,@taylorswift13 @taylornation13 I just went to the store and egg prices are still up! When will Taylor fix this?!?
925,925,https://twitter.com/stopalreadygeez/status/1625943802685886490,2023-02-15 19:43:05+00:00,stopalreadygeez,@taylorswift13 do you know me?
926,926,https://twitter.com/ariess47/status/1625939355276570625,2023-02-15 19:25:25+00:00,ariess47,@taylorswift13 @taylornation13 please help 🙏 #TürkiyeTekYürek
